MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB5935062,1C,15,3.7V,4.2V,1200,48,24.5±1.5,5.3±1.1,63.0±0.5,35.0±0.5,5.7±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5842126,2C,20,3.7V,4.2V,3000,80,64.0±1.5,2.1±0.4,127.0±0.5,42.0±0.5,5.6±0.2,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5642126,2C,30,3.7V,4.2V,2800,80,61.5±1.5,2.0±0.4,127.0±0.5,42.0±0.5,5.4±0.2,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6542126,2C,30,3.7V,4.2V,3400,96,73.0±2.0,1.7±0.3,127.0±0.5,42.0±0.5,6.3±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7142126,2C,30,3.7V,4.2V,4000,96,83.5±2.0,1.5±0.3,127.0±0.5,42.0±0.5,6.8±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5634096,2C,15,3.7V,4.2V,1800,64,36.0±1.5,3.5±0.7,97.0±0.5,34.0±0.5,5.4±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5934096,2C,15,3.7V,4.2V,2000,64,39.5±1.5,3.6±0.6,97.0±0.5,34.0±0.5,5.7±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6334096,2C,15,3.7V,4.2V,2100,64,41.5±1.5,3.1±0.6,97.0±0.5,34.0±0.5,6.1±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6734096,1C,5,3.7V,4.2V,2600,48,45.0±1.5,4.4±0.9,97.0±0.5,33.5±0.5,6.5±0.2,17.5±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7334096,2C,30,3.7V,4.2V,2300,80,49.0±1.5,2.3±0.5,97.0±0.5,34.0±0.5,7.0±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5342126,2C,15,3.7V,4.2V,2900,80,58.5±1.5,2.5±0.5,127.0±0.5,42.0±0.5,5.1±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8242126,2C,20,3.7V,4.2V,4600,96,93.5±2.0,1.5±0.3,127.0±0.5,42.0±0.5,7.9±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9542126,10A,15,3.7V,4.2V,5600,96,108.5±2.5,1.5±0.3,127.5±0.5,42.0±0.5,9.2±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7435062,1C,35,3.7V,4.2V,1300,80,31.0±1.5,2.5±0.5,63.0±0.5,34.5±0.5,7.0±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7845150,10A,20,3.7V,4.2V,5500,120,114.0±2.5,1.3±0.3,150.0±0.5,45.0±0.5,7.5±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8245180,10A,20,3.7V,4.2V,7050,120,144.0±3.0,1.1±0.2,180.5±0.5,45.0±0.5,7.9±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7348125,10A,8,3.7V,4.2V,5200,80,95.0±2.5,2.2±0.4,125.0±0.5,47.5±0.5,7.0±0.3,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8248164,10A,20,3.7V,4.2V,6850,120,140.5±3.0,1.2±0.2,164.0±0.5,48.0±0.5,7.9±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8246143,10A,15,3.7V,4.2V,6300,120,120.0±3.0,1.2±0.2,144.0±0.5,46.0±0.5,7.9±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8449135,10A,25,3.7V,4.2V,5800,120,120.0±3.0,1.2±0.2,136.5±0.5,49.0±0.5,8.1±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9742126,10A,30,3.7V,4.2V,5300,120,111.0±2.5,1.2±0.2,127.5±0.5,42.0±0.5,9.4±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9042126,10A,20,3.7V,4.2V,5000,96,102.5±2.5,1.4±0.3,127.5±0.5,42.0±0.5,8.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9142124,10A,20,3.7V,4.2V,5200,120,105.5±2.5,1.3±0.3,125.5±0.5,42.0±0.5,8.8±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8042126,1C,5,3.7V,4.2V,5300,96,93.0±2.0,2.3±0.5,127.0±0.5,42.0±0.5,7.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8236128,2C,20,3.7V,4.2V,3800,64,78.5±2.0,1.8±0.4,128.0±0.5,36.0±0.5,7.9±0.3,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5834096,2C,30,3.7V,4.2V,1800,80,39.0±1.5,2.6±0.5,97.0±0.5,34.0±0.5,5.6±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5630082,1C,15,3.7V,4.2V,1400,48,28.0±1.5,4.5±0.9,82.5±0.5,30.5±0.5,5.4±0.2,15±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8234096,2C,20,3.7V,4.2V,2700,64,55.5±2.0,2.2±0.4,97.0±0.5,34.0±0.5,7.9±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7734106,2C,20,3.7V,4.2V,2700,64,56.0±2.0,2.2±0.4,106.0±0.5,34.0±0.5,7.4±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7935062,2C,30,3.7V,4.2V,1600,80,35.0±1.5,2.8±0.6,63.0±0.5,35.0±0.5,7.6±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA363139HV,1C,5,3.8V,4.35V,11300,144,189.0±3.0,1.4±0.3,138.5±0.5,63.0±0.5,10.0±0.3,29±1,LCO+NCM,10.0±1.0,18,0.2,8.3±0.2,
SLPB5219096,1C,15,3.7V,4.2V,950,32,19.0±1.5,7.0±1.4,96.5±0.5,19.0±0.5,5.0±0.2,9±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB6449140,10A,10,3.7V,4.2V,5000,80,95.0±2.0,1.9±0.4,140.5±0.5,49.0±0.5,6.2±0.2,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6842126,2C,20,3.7V,4.2V,3700,96,77.5±2.0,1.7±0.3,127.0±0.5,42.0±0.5,6.6±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7145150,10A,20,3.7V,4.2V,5000,96,103.0±2.0,1.4±0.3,150.0±0.5,45.0±0.5,6.8±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6636128,2C,20,3.7V,4.2V,3000,64,63.5±2.0,2.1±0.4,128.0±0.5,36.0±0.5,6.4±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5433051,1C,20,3.7V,4.2V,850,48,18.0±1.5,6.1±1.2,53.0±0.5,33.5±0.5,5.2±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5234096,2C,20,3.7V,4.2V,1600,64,34.0±1.5,3.2±0.6,97.0±0.5,34.0±0.5,5.0±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5142126,2C,20,3.7V,4.2V,2600,96,55.5±1.5,2.3±0.5,126.5±0.5,42.0±0.5,4.9±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
LFP8030085,1C,1,3.2V,3.65V,1750,16,38.0±3.0,8.0±4.0,85.0±0.5,30.0±0.5,7.8±0.2,13.5±1.0,LiFePO4,17.0±1.0,4,0.1,4.0±0.2,
SLPB5934096,2C,25,3.7V,4.2V,1800,80,39.0±1.5,2.8±0.6,97.0±0.5,34.0±0.5,5.7±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9145135,10A,15,3.7V,4.2V,6100,120,118.5±3.0,1.3±0.3,135.5±0.5,45.0±0.5,8.8±0.3,20±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5735062,1C,30,3.7V,4.2V,1000,64,23.5±1.5,4.2±0.8,62.5±0.5,35.0±0.5,5.4±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8635062,2C,35,3.7V,4.2V,1550,80,36.5±1.5,2.2±0.4,63.0±0.5,35.0±0.5,8.2±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA142126,10A,25,3.7V,4.2V,5500,120,119.0±3.0,1.1±0.2,127.5±0.5,42.0±0.5,10.0±0.3,21±1.0,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7343058,2C,10,3.7V,4.2V,1800,64,36.5±2.0,4.1±0.8,60.0±0.5,43.0±0.5,6.8±0.3,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6699079,1C,3,3.7V,4.2V,5800,120,100.5±2.0,2.00±0.40,78.5±0.5,99.0±0.5,6.4±0.2,50±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB5630082,1C,15,3.7V,4.2V,1400,48,28.0±1.5,4.50±0.90,82.5±0.5,30.5±0.5,5.4±0.2,15±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7448125,10A,8,3.7V,4.2V,5200,80,97.0±2.5,2.0±0.4,125.0±0.5,47.5±0.5,7.1±0.3,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8546143,10A,15,3.7V,4.2V,6300,120,124.0±3.0,1.6±0.4,144.0±0.5,46.0±0.5,8.2±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8548164,10A,20,3.7V,4.2V,6850,120,144.0±3.0,1.6±0.4,164.0±0.5,48.0±0.5,8.2±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5735062,1C,35,3.7V,4.2V,1000,80,24.0±1.5,3.8±0.8,62.5±0.5,35.0±0.5,5.5±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9442124,10A,20,3.7V,4.2V,5200,120,107.0±2.5,1.3±0.3,125.5±0.5,42.0±0.5,9.1±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7682262HV,1C,1,3.8V,4.35V,24500,100,363.0±10.0,1.5±1.0,262.0±0.5,81.5±0.5,7.4±0.2,40±1,LCO+NCM,10.0±1.0,25,0.1,8.3±0.2,
SLPBA644120,10A,30,3.7V,4.2V,5800,120,119.0±2.5,0.8±0.2,120.0±0.5,44.0±0.5,10.3±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA164159,1C,5,3.7V,4.2V,12500,120,217.0±5.0,1.2±0.2,158.5±0.5,64.0±0.5,9.6±0.3,29±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB7558150,1C,5,3.7V,4.2V,7650,96,136.5±3.0,1.8±0.4,151.0±0.5,58.0±0.5,7.0±0.3,24±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7424037,1C,15,3.7V,4.2V,560,20,12.0±1.0,12.5±2.5,37.5±0.5,24.0±0.2,7.1±0.3,12.5±2,LCO,10.0±1.0,5,0.1,3.4±0.2,
SLPB8465146,10A,10,3.7V,4.2V,9450,144,178.0±3.0,1.1±0.2,146.0±0.5,65.0±0.5,8.1±0.3,30±1,LCO,10.0±1.0,18,0.2,5.0±0.2,
SLPB7419055,1C,20,3.7V,4.2V,630,16,14.5±1.0,10.8±1.1,55.5±0.5,19.0±0.5,7.1±0.3,8.5±1.0,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB7145135,1C,5,3.7V,4.2V,5400,80,94.5±2.0,2.3±0.5,135.0±0.5,45.0±0.5,6.8±0.3,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7350060,2C,20,3.7V,4.2V,2000,64,43.0±1.5,3.2±0.6,61.0±0.5,50.0±0.5,7.0±0.3,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5242126,2C,20,3.7V,4.2V,2600,96,57.5±2.0,2.3±0.5,126.5±0.5,42.0±0.5,5.0±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7732094,2C,20,3.7V,4.2V,2300,64,49.0±1.5,2.4±0.5,96.0±0.5,32.0±0.5,7.3±0.3,14.0±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA842126,10A,15,3.7V,4.2V,6300,120,127.0±2.5,1.3±0.3,127.5±0.5,42.0±0.5,10.5±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8225095,1C,5,3.7V,4.2V,2100,32,38.0±1.5,5.9±1.2,95.0±0.5,25.0±0.5,7.9±0.3,12±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB8850140,10A,10,3.7V,4.2V,7150,96,136.0±3.0,1.4±0.3,140.5±0.5,50.5±0.5,8.5±0.3,28±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8443058,2C,20,3.7V,4.2V,2000,64,43.5±1.5,3.2±0.6,60.0±0.5,43.0±0.5,8.1±0.3,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA042124,10A,20,3.7V,4.2V,5500,96,114.0±2.5,1.3±0.3,125.5±0.5,41.8±0.5,9.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA842124,10A,20,3.7V,4.2V,5700,80,119.0±2.5,1.2±0.2,125.5±0.5,42.0±0.5,10.2±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6072196,10A,8,3.7V,4.2V,8900,96,169.0±3.0,1.4±0.3,196.0±0.5,72.5±0.5,5.3±0.2,26±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8545150,10A,10,3.7V,4.2V,6600,120,126.0±2.5,1.3±0.3,150.0±0.5,45.0±0.5,8.2±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5016145,1C,10,3.7V,4.2V,1100,32,23.5±1.5,7.5±1.5,144.5±0.5,16.0±0.5,4.8±0.2,7.0-7.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7545150,10A,30,3.7V,4.2V,5200,120,113.0±3.0,0.9±0.3,150.0±0.5,45.0±0.5,7.2±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8370175HV,10A,10,3.8V,4.35V,12000,144,215.0±5.0,1.1±0.2,174.0±1.0,69.5±0.5,8.0±0.3,32±1,LCO+NCM,10.0±1.0,18,0.2,8.3±0.2,
SLPB9250062HV,1C,3,3.8V,4.35V,3450,64,56.5±1.5,3.9±0.8,62.0±0.5,50.0±0.5,8.9±0.3,25±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPBA475175,10A,15,3.7V,4.2V,15000,200,292.0±5.0,0.7±0.2,174.0±1.0,74.5±0.5,10.1±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBB090190,10A,15,3.7V,4.2V,21000,200,409.0±5.0,0.6±0.2,189.0±1.0,89.5±0.5,10.7±0.3,35±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB9370175HV,10A,10,3.8V,4.35V,14000,144,249.0±5.0,0.9±0.3,173.5±1.0,69.5±0.5,9.0±0.3,32±1,LCO+NCM,10.0±1.0,18,0.2,8.3±0.2,
SLPBA842126,10A,10,3.7V,4.2V,6550,96,126.5±3.0,1.3±0.3,127.5±0.5,42.0±0.5,10.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9449135,10A,25,3.7V,4.2V,5800,120,124.5±3.0,1.1±0.2,136.5±0.5,49.0±0.5,8.4±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8845180,10A,20,3.7V,4.2V,7050,120,148.0±3.0,1.1±0.2,180.5±0.5,44.5±0.5,8.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7458150,10A,15,3.7V,4.2V,7000,120,140.0±3.0,1.4±0.3,151.0±0.5,58.0±0.5,7.1±0.3,24±1,LCO,32.0±1.0,15,0.2,5.0±0.2,
SLPBA075175,10A,10,3.7V,4.2V,15000,200,281.0±5.0,0.7±0.2,174.0±1.0,74.5±0.5,9.7±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB8334122,2C,10,3.7V,4.2V,3500,64,70.5±1.5,2.4±0.5,122.5±0.5,34.0±0.5,7.6±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA742126,10A,15,3.7V,4.2V,6300,120,125.0±2.5,1.4±0.3,127.5±0.5,42.0±0.5,10.4±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6134060,1C,3,3.7V,4.2V,1350,48,25.0±1.5,7.4±1.5,62.0±0.5,34.0±0.5,5.9±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9564159HV,1C,5,3.8V,4.35V,12500,160,207.0±5.0,1.3±0.2,158.5±0.5,64.0±0.5,9.2±0.3,29±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB9470175HV,10A,10,3.8V,4.35V,14000,144,249.0±5.0,0.9±0.3,173.5±1.0,69.5±0.5,9.0±0.3,32±1,LCO+NCM,10.0±1.0,18,0.2,8.3±0.2,
SLPBB175175,10A,15,3.7V,4.2V,16000,200,313.0±5.0,0.6±0.2,174.0±1.0,74.5±0.5,10.7±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB9590190HV,10A,8,3.8V,4.35V,21000,200,358.0±5.0,0.7±0.2,189.5±0.5,89.5±0.5,9.2±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPBA142126,10A,15,3.7V,4.2V,5600,96,112.5±2.5,1.4±0.3,127.5±0.5,42.0±0.5,9.5±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8242126,2C,20,3.7V,4.2V,4500,80,94.5±2.0,1.4±0.3,127.0±0.5,42.0±0.5,7.7±0.3,15±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA342126,10A,30,3.7V,4.2V,5300,120,116.5±2.5,1.2±0.2,127.5±0.5,42.0±0.5,9.8±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA942126,10A,8,3.7V,4.2V,7000,96,128.0±3.0,2.1±0.4,127.5±0.5,42.0±0.5,10.6±0.3,21±1,LCO,37.0±1.0,12,0.2,5.0±0.2,
SLPBB075175,10A,10,3.7V,4.2V,16800,200,313.0±5.0,0.8±0.2,174.5±0.5,74.5±0.5,10.7±0.3,38±1,LCO,37.0±1.0,25,0.2,8.3±0.2,
SLPB9234074,2C,30,3.7V,4.2V,2200,80,46.0±1.5,2.4±0.5,74.0±0.5,34.0±0.5,8.9±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7742121,2C,30,3.7V,4.2V,4000,120,86.0±2.0,1.4±0.3,122.0±0.5,42.0±0.5,7.4±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA643126,10A,15,3.7V,4.2V,6350,120,125.5±2.5,1.3±0.3,127.5±0.5,42.7±0.5,10.4±0.3,21±1,LCO,32.0±1.0,15,0.2,5.0±0.2,
LFP8690140,1C,1,3.2V,3.65V,10000,40,207.0±3.0,3.0±1.0,140.0±0.5,90.0±0.5,8.4±0.2,35±1,LiFePO4,10.0±1.0,10,0.1,8.3±0.2,
SLPB8242126,1C,5,3.7V,4.2V,5300,96,95.0±3.0,2.3±0.5,127.0±0.5,42.0±0.5,7.9±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7342126,2C,15,3.7V,4.2V,4100,80,84.0±2.0,1.8±0.4,127.0±0.5,42.0±0.5,7.0±0.3,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7042126,2C,15,3.7V,4.2V,3900,80,78.5±2.5,1.9±0.4,127.0±0.5,42.0±0.5,6.6±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9638064,2C,40,3.7V,4.2V,1800,96,47.0±1.5,1.6±0.3,65.0±0.5,38.0±0.5,9.3±0.3,18±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA390190,1C,5,3.7V,4.2V,21500,120,372.0±5.0,0.9±0.3,189.5±0.5,89.5±0.5,9.5±0.3,35±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB8742126,10A,15,3.7V,4.2V,5200,96,102.5±2.5,1.6±0.3,127.5±0.5,42.0±0.5,8.4±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA790190HV,10A,8,3.8V,4.35V,23500,200,404.0±5.0,1.3±0.2,189.5±0.5,89.5±0.5,10.4±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB9056117,10A,15,3.7V,4.2V,6300,160,125.5±3.0,1.3±0.3,116.0±0.5,56.0±0.5,8.7±0.3,28±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPB9945150,10A,20,3.7V,4.2V,6900,120,144.5±3.0,1.2±0.2,150.5±0.5,45.0±0.5,9.6±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8736128,2C,20,3.7V,4.2V,4200,80,87.5±2.0,1.4±0.3,128.0±0.5,36.0±0.5,8.4±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBB042126,10A,15,3.7V,4.2V,6300,80,124.0±2.5,1.4±0.3,127.5±0.5,42.0±0.5,10.5±0.3,18.0±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8542126,2C,20,3.7V,4.2V,4600,96,96.5±2.0,1.4±0.3,127.0±0.5,42.0±0.5,8.0±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7032094,2C,30,3.7V,4.2V,2050,80,46.0±1.5,2.3±0.5,96.0±0.5,32.0±0.5,6.7±0.3,16.0±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8242126,2C,30,3.7V,4.2V,4300,120,94.0±2.0,1.3±0.3,127.0±0.5,42.0±0.5,7.9±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5842126,2C,30,3.7V,4.2V,2800,80,63.5±1.5,1.9±0.4,127.0±0.5,42.0±0.5,5.4±0.2,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA942126HV,10A,8,3.8V,4.35V,7500,80,127.0±3.0,1.7±0.3,127.5±0.5,42.0±0.5,10.5±0.3,18±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPBA842126HV,10A,15,3.8V,4.35V,6500,120,123.0±3.0,1.3±0.3,127.5±0.5,42.0±0.5,10.6±0.3,21±1,LCO+NCM,10.0±1.0,15,0.2,5.0±0.2,
SLPB6242085,1C,3,3.7V,4.2V,2800,48,49.5±1.5,3.9±0.8,85.5±0.5,42.0±0.5,6.0±0.2,16.5±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB5642085,1C,3,3.7V,4.2V,2500,48,44.5±1.5,4.4±0.9,85.5±0.5,42.5±0.5,5.4±0.2,16.5±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPBA034050,2C,8,3.7V,4.2V,1700,48,33.0±1.5,4.5±0.9,51.5±0.5,34.0±0.5,9.7±0.3,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7630080,2C,30,3.7V,4.2V,1600,64,36.0±1.5,2.2±0.4,80.0±0.5,30.0±0.5,7.3±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA585155,10A,10,3.7V,4.2V,16800,200,306.0±5.0,0.8±0.2,154.5±0.5,85.0±0.5,10.2±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB9236128HV,2C,15,3.8V,4.35V,4750,64,88.0±2.0,1.8±0.4,128.0±0.5,36.0±0.5,8.8±0.3,15±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB7336128HV,2C,15,3.8V,4.35V,3700,64,69.0±2.0,2.2±0.4,128.0±0.5,36.0±0.5,7.0±0.3,15±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB5836128HV,2C,15,3.8V,4.35V,2800,64,55.0±2.0,2.8±0.6,128.0±0.5,36.0±0.5,5.6±0.2,15±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB6482073,2C,10,3.7V,4.2V,4100,80,80.5±2.0,2.1±0.4,74.0±0.5,82.0±0.5,6.2±0.2,41±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9044120,10A,30,3.7V,4.2V,5000,120,102.0±2.5,1.2±0.2,120.0±0.5,44.0±0.5,8.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5243080,2C,8,3.7V,4.2V,1800,64,36.0±1.0,4.1±0.8,80.5±0.5,43.0±0.5,4.8±0.2,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9442126,2C,20,3.7V,4.2V,4800,96,102.0±2.5,1.4±0.3,127.5±0.5,42.0±0.5,8.6±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8842126,2C,20,3.7V,4.2V,4400,96,94.0±2.0,1.4±0.3,127.5±0.5,42.0±0.5,8.1±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA642124,10A,30,3.7V,4.2V,5900,120,122.0±2.5,0.9±0.3,125.5±0.5,42.0±0.5,10.3±0.3,21.0±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA842124,10A,20,3.7V,4.2V,6100,120,126.5±2.5,1.1±0.2,125.5±0.5,42.0±0.5,10.5±0.3,21.0±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8648164,10A,30,3.7V,4.2V,6700,120,147.5±3.0,0.9±0.3,164.0±0.5,48.0±0.5,8.3±0.3,25.0±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5944143,2C,30,3.7V,4.2V,3800,120,78.5±2.0,1.6±0.3,142.5±0.5,43.5±0.5,5.7±0.2,21.0±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9075175,10A,20,3.7V,4.2V,12000,200,250.0±5.0,0.7±0.2,174.5±0.5,74.5±0.5,8.7±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB6535042,1C,5,3.7V,4.2V,1000,48,18.5±1.5,9.4±1.9,43.0±0.5,35.0±0.5,6.3±0.2,16±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB7945119,2C,8,3.7V,4.2V,4900,120,93.0±2.0,2.1±0.4,120.0±0.5,45.0±0.5,7.5±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
